iter	Passed	Remaining
0	2	198
1	3	173
2	4	160
3	6	152
4	7	150
5	9	146
6	10	143
7	12	145
8	14	145
9	16	145
10	17	145
11	19	145
12	21	143
13	22	141
14	24	138
15	25	135
16	27	134
17	28	131
18	30	129
19	31	127
20	33	124
21	34	123
22	36	121
23	37	119
24	39	117
25	40	115
26	42	113
27	43	112
28	45	112
29	47	110
30	48	108
31	50	106
32	51	105
33	53	103
34	54	101
35	56	100
36	58	98
37	59	97
38	61	95
39	62	93
40	63	91
41	64	89
42	65	87
43	67	85
44	68	84
45	70	82
46	71	80
47	73	79
48	74	77
49	76	76
50	77	74
51	78	72
52	80	71
53	81	69
54	82	67
55	84	66
56	85	64
57	86	62
58	88	61
59	89	59
60	91	58
61	92	56
62	94	55
63	95	53
64	97	52
65	98	50
66	100	49
67	101	47
68	103	46
69	104	44
70	106	43
71	107	41
72	108	40
73	110	38
74	111	37
75	113	35
76	114	34
77	116	32
78	117	31
79	118	29
80	120	28
81	121	26
82	123	25
83	124	23
84	126	22
85	127	20
86	128	19
87	130	17
88	132	16
89	133	14
90	135	13
91	136	11
92	138	10
93	139	8
94	140	7
95	142	5
96	143	4
97	145	2
98	146	1
99	148	0
